software,Link,Description,Year,Last Modified,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/490656/mysql-not-starting-error-usr-sbin-mysqld-unknown-option-query-cache-si,mysql not starting error usr sbin mysqld unknown option query cache si,2013,2023,,,,,,,,,,,,,,
PHP,https://serverfault.com/questions/438943/php5-4-freebsd8-3nginx-cant-get-errors, I can't get any error into log file or screen.,2012,2012,,,,,,,,,,,,,,
Others,https://serverfault.com/questions/580815/lighttpd-wrong-config-file-syntax,Lighttpd wrong config file syntax,2014,2014,,,,,,,,,,,,,,
Others,https://serverfault.com/questions/520374/flask-lighttpd-with-fastcgi-cant-get-it-to-work,"flask, lighttpd with fastcgi can't get it to work",2013,2013,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/584774/golang-with-nginx-serving-static-files,Go(lang) with nginx - Serving Static Files,2014,2014,,,,,,,,,,,,,,
Apache httpd,http://serverfault.com/questions/511615/why-does-my-rewritecond-match-even-though-the-pattern-clearly-doesnt-match,why does my rewritecond match even though the pattern clearly doesnt match,2013,2013,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/656240/correct-syntax-for-apache-if-expressions-with-mod-macro,Incorrect syntax for Apache If expressions with mod_macro,2015,2015,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/893016/i-need-the-apache-loadbalancer-configuration,"cannot attached ProxyPass within section, it gives error "">>> ProxyPass cannot occur within section""",2018,2018,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/50049463/remote-postgresql-connection-with-pgadmin/50063167#50063167,Remote PostgreSQL connection with pgAdmin,2018,2021,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/33076012/error-while-starting-namenode-and-datanode/33078097#33078097,error while starting namenode and datanode,2015,2017,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/49654143,"Spring Security 5 : There is no PasswordEncoder mapped for the id ""null""",2018,2023,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/22565200,Where HDFS stores data,2014,2017,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/11951816,Nginx Magento configuration index.php cyclic error,2012,2012,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/4562456,MySQL: setting time_zone in my.cnf options file,2010,2021,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/398607,How to enable configSource attribute for Custom Configuration Section in .NET?,2008,2011,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/761756,ASP.NET site map configuration error,2009,2012,,,,,,,,,,,,,,
Apache httpd,https://stackoverflow.com/questions/46029105,Apache ProxyPass error,2017,2017,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/11462916,Grails log4j configuration - ERROR Method missing when configuring log4j: logger,2012,2012,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/443235,.NET 3.5 - Configuration system failed to initialize exception,2009,2023,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/661309,Configuration Error,2009,2012,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/21381943,How to configure Spring without persistence.xml?,2014,2021,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/397390/nginx-configuration-error-using-codex-example-is-this-a-typo-in-codex,NGINX Configuration Error using Codex Example: Is This a Typo in Codex?,2012,2012,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/357981/nginx-proxy-configuration-error-config-syntax,nginx proxy configuration error (config syntax),2012,2012,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/496371/nested-locations-nginx,How to use nested Nginx location blocks (prefixes vs. regex directives)?,2013,2023,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/34662979/nginx-redirect-with-proxy-pass,nginx redirect with proxy_pass,2016,2016,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/50482341/django-nginx-gunicorn-404-on-any-other-page-than-the-root,"django, nginx, gunicorn 404 on any other page than the root",2018,2018,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/47363455/running-more-than-two-web-applications-on-nginx,Running more than two web applications on nginx,2017,2017,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/5685344,Do I need to escape backslash in a config file?,2011,2017,,,,,,,,,,,,,,
Apache httpd,https://stackoverflow.com/questions/4270921,mod_rewrite and double slash issue,2010,2022,,,,,,,,,,,,,,
Apache httpd,https://stackoverflow.com/questions/15746609,PHP Syntax Error On Apache 2.4.3 and PHP 5.4.7 (foreach template syntax) [closed],2013,2013,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/14607920,"The ""&"" character breaks passwords that are stored in the web.config",2013,2017,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/64793839,Barman geo-redundancy configuration error,2020,2020,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/34355308,Error Loading JSON from configuration file using ConfigParser,2015,2015,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/15821436,Inno Setup parameter with quotes in [Run] section,2013,2020,,,,,,,,,,,,,,
MySQL,https://stackoverflow.com/questions/19300501,mysql .my.cnf not reading credentials properly?,2013,2014,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/446269,Can I use SPACE as mapleader in VIM?,2009,2022,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/399973/nginx-500-error-instead-of-404,nginx 500 error instead of 404,2012,2018,,,,,,,,,,,,,,
MySQL,http://serverfault.com/questions/313400/datetime-format-changed-between-mysql-5-0-and-5-1,datetime format changed between mysql 5 0 and 5 1,2011,2015,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/9021946,Add MIME mapping in web.config for IIS Express,2012,2017,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/813402/apache-syntax-error,Apache Syntax Error,2016,2016,,,,,,,,,,,,,,
Others,https://stackoverflow.com/questions/51703109,"nginx the ""ssl"" directive is deprecated, use the ""listen ... ssl""",2018,2022,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/757779/i-cant-have-my-virtualhosts-working-properly-in-apache,can't have my virtualhosts working properly in Apache,2016,2016,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/5915887/pg-bulkload-error-fatal-unrecognized-configuration-parameter-wal-level/5918274#5918274,pg_bulkload error: “FATAL: unrecognized configuration parameter ”wal_level“”,2011,2015,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/40517942/unrecognized-configuration-parameter-autocommit-in-postgresql-nodejs/40546968#40546968,unrecognized configuration parameter “autocommit” in PostgreSQL NodeJS,2016,2016,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/64148866/could-not-access-file-pglogical-while-trying-to-install-pglogical/64166755#64166755,Could not access file “pglogical” while trying to install pglogical,2020,2020,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/39412531,can't connect to mysql in playframework,2016,2016,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/146589/apache-virtual-host-issue,Apache Virtual Host Issue,2010,2010,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/650709/jenkins-under-apache-httpd-sometimes-switches-from-ssl-to-plain-http,Jenkins under Apache httpd sometimes switches from SSL to plain HTTP,2014,2014,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/650137/setting-up-suphp-with-puppetlabs-apache-on-centos-6-5,Cannot set up suPHP with puppetlabs/apache on centos 6.5,2014,2014,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/874765/how-to-set-up-nginx-in-ubuntu-with-virtualbox,How to set up nginx in ubuntu with virtualbox,2017,2017,,,,,,,,,,,,,,
Apache httpd,https://serverfault.com/questions/563182/apache-2-restart-fails,Apache 2 restart fails,2013,2013,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/1148839,zlib.output_compression = On  interfering,2023,2023,,,,,,,,,,,,,,
PostgreSQL,https://stackoverflow.com/questions/10548447/rails-cannot-establish-a-postgres-connection/10548691#10548691,Rails cannot establish a Postgres connection,2012,2012,,,,,,,,,,,,,,
Hadoop,https://stackoverflow.com/questions/36517774/nodemanager-namenode-resourcemanager-datanode-secondarynamenode-not-running/36591990#36591990,NodeManager NameNode ResourceManager DataNode SecondaryNameNode not running,2016,2021,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/17241554/unknown-error-nginx,Unknown error nginx,2013,2016,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/6475472/duplicate-mime-type-text-html,"[warn]: duplicate MIME type ""text/html"" in /etc/nginx/nginx.conf:25",2011,2018,,,,,,,,,,,,,,
Nginx,https://stackoverflow.com/questions/44301644/symfony-nginx-configuration-error-fastcgi-sent-in-stderr-primary-script-unk,"*1 FastCGI sent in stderr: ""Primary script unknown"" while reading response header from upstream",2017,2018,,,,,,,,,,,,,,
Nginx,https://serverfault.com/questions/688409/nginx-1-8-configuration-problems,Nginx 1.8 Configuration Problems,2015,2015,,,,,,,,,,,,,,
